Country,Subregion,Continent,,,,,,,,,,,,,
Congo,Middle Africa,Africa,,,,,,,,,,,,,
Liberia,Western Africa,Africa,,,,,,,,,,,,,
Central African Republic,Middle Africa,Africa,,,,,,,,,,,,,
Mauritania,Western Africa,Africa,,,,,,,,,,,,,
Eritrea,Eastern Africa,Africa,,,,,,,,,,,,,
Namibia,Southern Africa,Africa,,,,,,,,,,,,,
Gambia,Western Africa,Africa,,,,,,,,,,,,,
Botswana,Southern Africa,Africa,,,,,,,,,,,,,
Gabon,Middle Africa,Africa,,,,,,,,,,,,,
Lesotho,Southern Africa,Africa,,,,,,,,,,,,,
Guinea-Bissau,Western Africa,Africa,,,,,,,,,,,,,
Equatorial Guinea,Middle Africa,Africa,,,,,,,,,,,,,
Mauritius,Eastern Africa,Africa,,,,,,,,,,,,,
Eswatini,Southern Africa,Africa,,,,,,,,,,,,,
Djibouti,Eastern Africa,Africa,,,,,,,,,,,,,
Comoros,Eastern Africa,Africa,,,,,,,,,,,,,
Cabo Verde,Western Africa,Africa,,,,,,,,,,,,,
Sao Tome & Principe,Middle Africa,Africa,,,,,,,,,,,,,
Seychelles,Eastern Africa,Africa,,,,,,,,,,,,,
China,Eastern Asia,Asia,,,,,,,,,,,,,
India,Southern Asia,Asia,,,,,,,,,,,,,
Indonesia,South-Eastern Asia,Asia,,,,,,,,,,,,,
Pakistan,Southern Asia,Asia,,,,,,,,,,,,,
Bangladesh,Southern Asia,Asia,,,,,,,,,,,,,
Japan,Eastern Asia,Asia,,,,,,,,,,,,,
Philippines,South-Eastern Asia,Asia,,,,,,,,,,,,,
Vietnam,South-Eastern Asia,Asia,,,,,,,,,,,,,
Turkey,Western Asia,Asia,,,,,,,,,,,,,
Iran,Southern Asia,Asia,,,,,,,,,,,,,
Thailand,South-Eastern Asia,Asia,,,,,,,,,,,,,
Myanmar,South-Eastern Asia,Asia,,,,,,,,,,,,,
South Korea,Eastern Asia,Asia,,,,,,,,,,,,,
Iraq,Western Asia,Asia,,,,,,,,,,,,,
Afghanistan,Southern Asia,Asia,,,,,,,,,,,,,
Saudi Arabia,Western Asia,Asia,,,,,,,,,,,,,
Uzbekistan,Central Asia,Asia,,,,,,,,,,,,,
Malaysia,South-Eastern Asia,Asia,,,,,,,,,,,,,
Yemen,Western Asia,Asia,,,,,,,,,,,,,
Nepal,Southern Asia,Asia,,,,,,,,,,,,,
North Korea,Eastern Asia,Asia,,,,,,,,,,,,,
Sri Lanka,Southern Asia,Asia,,,,,,,,,,,,,
Kazakhstan,Central Asia,Asia,,,,,,,,,,,,,
Syria,Western Asia,Asia,,,,,,,,,,,,,
Cambodia,South-Eastern Asia,Asia,,,,,,,,,,,,,
Jordan,Western Asia,Asia,,,,,,,,,,,,,
Azerbaijan,Western Asia,Asia,,,,,,,,,,,,,
United Arab Emirates,Western Asia,Asia,,,,,,,,,,,,,
Tajikistan,Central Asia,Asia,,,,,,,,,,,,,
Israel,Western Asia,Asia,,,,,,,,,,,,,
Laos,South-Eastern Asia,Asia,,,,,,,,,,,,,
Lebanon,Western Asia,Asia,,,,,,,,,,,,,
Kyrgyzstan,Central Asia,Asia,,,,,,,,,,,,,
Turkmenistan,Central Asia,Asia,,,,,,,,,,,,,
Singapore,South-Eastern Asia,Asia,,,,,,,,,,,,,
Oman,Western Asia,Asia,,,,,,,,,,,,,
State of Palestine,Western Asia,Asia,,,,,,,,,,,,,
Kuwait,Western Asia,Asia,,,,,,,,,,,,,
Georgia,Western Asia,Asia,,,,,,,,,,,,,
Mongolia,Eastern Asia,Asia,,,,,,,,,,,,,
Armenia,Western Asia,Asia,,,,,,,,,,,,,
Qatar,Western Asia,Asia,,,,,,,,,,,,,
Bahrain,Western Asia,Asia,,,,,,,,,,,,,
Timor-Leste,South-Eastern Asia,Asia,,,,,,,,,,,,,
Cyprus,Western Asia,Asia,,,,,,,,,,,,,
Bhutan,Southern Asia,Asia,,,,,,,,,,,,,
Maldives,Southern Asia,Asia,,,,,,,,,,,,,
Brunei,South-Eastern Asia,Asia,,,,,,,,,,,,,
Russia,Eastern Europe,Europe,,,,,,,,,,,,,
Germany,Western Europe,Europe,,,,,,,,,,,,,
United Kingdom,Northern Europe,Europe,,,,,,,,,,,,,
France,Western Europe,Europe,,,,,,,,,,,,,
Italy,Southern Europe,Europe,,,,,,,,,,,,,
Spain,Southern Europe,Europe,,,,,,,,,,,,,
Ukraine,Eastern Europe,Europe,,,,,,,,,,,,,
Poland,Eastern Europe,Europe,,,,,,,,,,,,,
Romania,Eastern Europe,Europe,,,,,,,,,,,,,
Netherlands,Western Europe,Europe,,,,,,,,,,,,,
Belgium,Western Europe,Europe,,,,,,,,,,,,,
Czech Republic (Czechia),Eastern Europe,Europe,,,,,,,,,,,,,
Greece,Southern Europe,Europe,,,,,,,,,,,,,
Portugal,Southern Europe,Europe,,,,,,,,,,,,,
Sweden,Northern Europe,Europe,,,,,,,,,,,,,
Hungary,Eastern Europe,Europe,,,,,,,,,,,,,
Belarus,Eastern Europe,Europe,,,,,,,,,,,,,
Austria,Western Europe,Europe,,,,,,,,,,,,,
Serbia,Southern Europe,Europe,,,,,,,,,,,,,
Switzerland,Western Europe,Europe,,,,,,,,,,,,,
Bulgaria,Eastern Europe,Europe,,,,,,,,,,,,,
Denmark,Northern Europe,Europe,,,,,,,,,,,,,
Finland,Northern Europe,Europe,,,,,,,,,,,,,
Slovakia,Eastern Europe,Europe,,,,,,,,,,,,,
Norway,Northern Europe,Europe,,,,,,,,,,,,,
Ireland,Northern Europe,Europe,,,,,,,,,,,,,
Croatia,Southern Europe,Europe,,,,,,,,,,,,,
Moldova,Eastern Europe,Europe,,,,,,,,,,,,,
Bosnia and Herzegovina,Southern Europe,Europe,,,,,,,,,,,,,
Albania,Southern Europe,Europe,,,,,,,,,,,,,
Lithuania,Northern Europe,Europe,,,,,,,,,,,,,
North Macedonia,Southern Europe,Europe,,,,,,,,,,,,,
Slovenia,Southern Europe,Europe,,,,,,,,,,,,,
Latvia,Northern Europe,Europe,,,,,,,,,,,,,
Estonia,Northern Europe,Europe,,,,,,,,,,,,,
Montenegro,Southern Europe,Europe,,,,,,,,,,,,,
Luxembourg,Western Europe,Europe,,,,,,,,,,,,,
Malta,Southern Europe,Europe,,,,,,,,,,,,,
Iceland,Northern Europe,Europe,,,,,,,,,,,,,
Andorra,Southern Europe,Europe,,,,,,,,,,,,,
Monaco,Western Europe,Europe,,,,,,,,,,,,,
Liechtenstein,Western Europe,Europe,,,,,,,,,,,,,
San Marino,Southern Europe,Europe,,,,,,,,,,,,,
Holy See,Southern Europe,Europe,,,,,,,,,,,,,
Australia,Australia,Australia,,,,,,,,,,,,,
Papua New Guinea,Australia,Australia,,,,,,,,,,,,,
New Zealand,Australia,Australia,,,,,,,,,,,,,
Fiji,Australia,Australia,,,,,,,,,,,,,
Solomon Islands,Australia,Australia,,,,,,,,,,,,,
Vanuatu,Australia,Australia,,,,,,,,,,,,,
New Caledonia,Australia,Australia,,,,,,,,,,,,,
French Polynesia,Australia,Australia,,,,,,,,,,,,,
Samoa,Australia,Australia,,,,,,,,,,,,,
Guam,Australia,Australia,,,,,,,,,,,,,
Kiribati,Australia,Australia,,,,,,,,,,,,,
Micronesia,Australia,Australia,,,,,,,,,,,,,
Tonga,Australia,Australia,,,,,,,,,,,,,
Marshall Islands,Australia,Australia,,,,,,,,,,,,,
Northern Mariana Islands,Australia,Australia,,,,,,,,,,,,,
American Samoa,Australia,Australia,,,,,,,,,,,,,
Palau,Australia,Australia,,,,,,,,,,,,,
Cook Islands,Australia,Australia,,,,,,,,,,,,,
Tuvalu,Australia,Australia,,,,,,,,,,,,,
Wallis and Futuna Islands,Australia,Australia,,,,,,,,,,,,,
Nauru,Australia,Australia,,,,,,,,,,,,,
Niue,Australia,Australia,,,,,,,,,,,,,
Tokelau,Australia,Australia,,,,,,,,,,,,,
Canada,North America,North America,,,,,,,,,,,,,
Bermuda,North America,North America,,,,,,,,,,,,,
Greenland,North America,North America,,,,,,,,,,,,,
Saint Pierre & Miquelon,North America,North America,,,,,,,,,,,,,
United States,North America,North America,,,,,,,,,,,,,
Brazil,South America,South America,,,,,,,,,,,,,
Colombia,South America,South America,,,,,,,,,,,,,
Argentina,South America,South America,,,,,,,,,,,,,
Peru,South America,South America,,,,,,,,,,,,,
Venezuela,South America,South America,,,,,,,,,,,,,
Chile,South America,South America,,,,,,,,,,,,,
Ecuador,South America,South America,,,,,,,,,,,,,
Bolivia,South America,South America,,,,,,,,,,,,,
Paraguay,South America,South America,,,,,,,,,,,,,
Uruguay,South America,South America,,,,,,,,,,,,,
Guyana,South America,South America,,,,,,,,,,,,,
Suriname,South America,South America,,,,,,,,,,,,,
French Guiana,South America,South America,,,,,,,,,,,,,
Falkland Islands,South America,South America,,,,,,,,,,,,,
